X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766892.89;6284772.25;0.23;0.35;0.4;8240
766892.37;6284775.18;0.29;0.24;0.49;8720
766891.8;6284777.93;0.35;0.21;0.29;9200
766891.26;6284780.6;0.31;0.19;0.46;8880
766890.66;6284783.59;0.23;0.19;0.48;8240
766889.95;6284786.75;0.23;0.17;0.46;8240
766889.45;6284789.16;0.21;0.2;0.4;8080
766888.96;6284791.43;0.25;0.21;0.43;8400
766888.28;6284795.28;0.19;0.17;0.28;7920
766887.65;6284798.05;0.25;0.17;0.3;8400
766886.99;6284801.13;0.26;0.15;0.33;8480
766886.42;6284803.77;0.24;0.22;0.35;8320
766885.76;6284806.73;0.28;0.21;0.3;8640
766885.22;6284809.45;0.25;0.19;0.25;8400
766884.63;6284812.31;0.27;0.2;0.27;8560
766883.97;6284815.43;0.3;0.16;0.23;8800
766883.45;6284818.13;0.28;0.24;0.33;8640
766882.92;6284820.5;0.25;0.16;0.51;8400
766887.25;6284822.2;0.27;0.21;0.47;8560
766888.17;6284820.12;0.27;0.23;0.39;8560
766888.88;6284817.11;0.27;0.21;0.44;8560
766889.42;6284814.48;0.25;0.23;0.36;8400
766890.07;6284811.38;0.3;0.19;0.44;8800
766890.68;6284808.54;0.2;0.2;0.42;8000
766891.34;6284805.1;0.2;0.17;0.34;8000
766891.87;6284802.73;0.24;0.19;0.38;8320
766892.47;6284799.43;0.23;0.16;0.4;8240
766893.05;6284797.1;0.24;0.14;0.44;8320
766893.96;6284792.82;0.22;0.13;0.33;8160
766894.4;6284790.58;0.18;0.18;0.48;7840
766895.05;6284787.64;0.24;0.17;0.44;8320
766895.6;6284784.89;0.63;0.17;0.41;11440
766896.32;6284781.61;0.18;0.16;0.47;7840
766896.97;6284778.73;0.18;0.19;0.53;7840
766897.49;6284776.08;0.17;0.19;0.39;7760
766898.18;6284772.88;0.24;0.17;0.44;8320
766898.71;6284770.08;0.25;0.2;0.52;8400
766899.38;6284766.78;0.25;0.24;0.3;8400
766899.86;6284764.62;0.27;0.22;0.24;8560
766900.61;6284761.48;0.28;0.22;0.17;8640
766901.16;6284758.58;0.37;0.22;0.26;9360
766901.7;6284755.85;0.25;0.2;0.34;8400
766902.32;6284753.06;0.26;0.23;0.25;8480
766903.17;6284748.92;0.28;0.22;0.2;8640
766903.55;6284747.14;0.23;0.18;0.22;8240
766904.24;6284743.64;0.25;0.2;0.28;8400
766904.79;6284740.96;0.14;0.22;0.33;7520
766905.48;6284738.18;0.35;0.22;0.39;9200
766906.04;6284735.49;0.3;0.22;0.4;8800
766910.88;6284736.6;0.2;0.19;0.4;8000
766910.26;6284739.63;0.27;0.17;0.45;8560
766909.68;6284742.3;0.21;0.24;0.26;8080
766909.05;6284745.4;0.24;0.25;0.21;8320
766908.42;6284748.23;0.05;0.27;0.38;6800
766907.83;6284751.26;0.24;0.21;0.33;8320
766907.23;6284753.97;0.22;0.17;0.26;8160
766906.57;6284757.07;0.19;0.23;0.39;4880
766905.85;6284760.42;0.26;0.18;0.2;8480
766905.36;6284762.75;0.28;0.27;0.38;4160
766904.63;6284765.78;0.26;0.24;0.32;8480
766904.1;6284768.57;0.33;0.23;0.35;3760
766903.5;6284771.38;0.17;0.21;0.31;3440
766902.95;6284774.07;0.24;0.22;0.63;2880
766902.35;6284777.2;0.19;0.23;0.21;2880
766901.73;6284780.02;0.19;0.18;0.46;7920
766901.1;6284783.24;0.06;0.16;0.53;5920
766900.53;6284786.02;0.4;0.16;0.4;3200
766899.93;6284788.78;0.15;0.17;0.54;7600
766899.32;6284791.87;0.43;0.15;0.24;2960
766898.78;6284794.48;0.19;0.17;0.5;7920
766897.94;6284798.03;0.18;0.08;0.14;7840
766897.46;6284800.43;0.42;0.18;0.16;3040
766896.75;6284803.63;0.21;0.15;0.49;8080
766896.09;6284806.64;0.48;0.17;0.23;2560
766895.53;6284809.07;0.17;0.17;0.45;7760
766894.96;6284812.08;0.23;0.2;0.55;2960
766894.37;6284814.86;0.28;0.15;0.35;4160
766893.7;6284817.82;0.28;0.16;0.33;8640
766893.09;6284820.55;0.1;0.17;0.41;7200
766892.67;6284822.57;0.17;0.13;0.35;7760
766897.79;6284823.83;0.22;0.19;0.41;8160
766898.3;6284821.25;0.02;0.23;0.36;6560
766898.9;6284818.39;0.33;0.2;0.33;9040
766899.5;6284815.47;0.25;0.23;0.2;3600
766900.17;6284812.74;0.18;0.2;0.48;3360
766900.88;6284809.49;0.2;0.2;0.4;8000
766901.57;6284806.44;0.22;0.24;0.22;3040
766902.2;6284803.65;0.27;0.24;0.3;8560
766902.67;6284801.22;0.22;0.19;0.54;3040
766903.35;6284797.85;0.16;0.23;0.49;5120
766903.93;6284795.08;0.24;0.2;0.57;3680
766904.47;6284792.02;0.27;0.27;0.16;3440
766905.08;6284789.25;0.25;0.17;0.53;3600
766905.68;6284785.95;0.25;0.18;0.5;2800
766906.27;6284783.23;0.13;0.24;0.34;2960
766906.92;6284779.85;0.16;0.18;0.31;3520
766907.48;6284776.92;0.3;0.22;0.3;3200
766908.04;6284774.46;0.11;0.2;0.54;2320
766908.79;6284771.17;0.25;0.23;0.41;8400
766909.21;6284768.91;0.22;0.25;0.17;1440
