X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766892.35;6284773.12;0.65;0.24;61;5200;51.2;33.4
766891.96;6284775.21;0.56;0.44;67;4480;58.2;28.6
766891.3;6284778.28;0.6;0.4;69;4800;60.8;27
766890.8;6284780.99;0.54;0.4;67;4320;56.8;28.6
766890.35;6284783.58;0.56;0.34;64;4480;53.3;31
766889.5;6284787.29;0.62;0.29;67;4960;57.1;28.6
766888.93;6284789.81;0.57;0.26;61;4560;49.4;33.4
766888.54;6284791.29;0.74;0.24;55;5920;48.3;38.2
766887.73;6284795.41;0.68;0.29;62;5440;53.9;32.6
766887.06;6284798.63;0.65;0.25;69;5200;59.4;27
766886.37;6284801.63;0.73;0.23;62;5840;54.3;32.6
766885.78;6284804.19;0.57;0.29;61;4560;49.9;33.4
766885.11;6284807.22;0.64;0.27;56;5120;47;37.4
766884.55;6284810.33;0.69;0.33;60;5520;53;34.2
766884.01;6284813.11;0.7;0.31;60;5600;52.9;34.2
766883.24;6284816.46;0.74;0.27;61;5920;54.3;33.4
766882.81;6284819.05;0.6;0.31;69;4800;59;27
766882.38;6284821.23;0.62;0.21;68;4960;56.6;27.8
766887.34;6284821.86;0.58;0.41;69;4640;60.4;27
766887.81;6284819.61;0.62;0.33;54;4960;45.8;39
766888.63;6284816.38;0.68;0.26;58;5440;49.6;35.8
766889.2;6284813.6;0.64;0.28;56;5120;47.2;37.4
766889.82;6284810.74;0.64;0.26;55;5120;46;38.2
766890.43;6284807.79;0.68;0.41;50;5440;45.2;42.2
766891;6284804.56;0.63;0.22;54;5040;44.3;39
766891.67;6284801.67;0.69;0.26;53;5520;45.6;39.8
766892.28;6284798.75;0.65;0.24;56;5200;46.8;37.4
766892.78;6284796.61;0.93;0.14;36;7440;36.7;53.4
766893.73;6284791.95;0.72;0.3;52;5760;46.2;40.6
766894.12;6284789.92;0.59;0.27;64;4720;52.9;31
766894.78;6284787.09;0.61;0.31;65;4880;55.2;30.2
766895.32;6284784.35;0.59;0.38;66;4720;56.9;29.4
766896.02;6284781.22;0.57;0.3;70;4560;58.9;26.2
766896.65;6284778.32;0.56;0.3;69;4480;57.5;27
766897.21;6284775.59;0.6;0.42;67;4800;59.1;28.6
766897.91;6284772.54;0.67;0.65;60;5360;58.5;34.2
766898.41;6284769.81;0.6;0.39;68;4800;59.5;27.8
766898.98;6284767.07;0.67;0.26;66;5360;57.1;29.4
766899.5;6284764.41;0.66;0.3;66;5280;57.5;29.4
766900.13;6284761.53;0.66;0.47;56;5280;50.9;37.4
766900.71;6284758.51;0.62;0.28;60;4960;50.2;34.2
766901.27;6284755.74;0.63;0.34;64;5040;55.3;31
766901.94;6284752.7;0.65;0.4;60;5200;53.1;34.2
766902.8;6284748.77;0.82;0.24;43;6560;40.6;47.8
766903.21;6284746.91;0.59;0.44;52;4720;45.1;40.6
766903.81;6284743.82;0.66;0.39;58;5280;51.3;35.8
766904.41;6284741.03;0.65;0.35;62;5200;54.1;32.6
766905.07;6284738.16;0.63;0.38;71;5040;63.6;25.4
766905.63;6284735.32;0.64;0.43;71;5120;65.1;25.4
766910.49;6284736.52;0.63;0.28;60;5040;50.4;34.2
766909.9;6284739.15;0.63;0.36;65;5040;56.7;30.2
766909.25;6284741.92;0.6;0.35;59;4800;49.9;35
766908.62;6284744.85;0.69;0.37;53;5520;47.4;39.8
766908.03;6284747.71;0.61;0.37;55;4880;47;38.2
766907.41;6284750.74;0.67;0.31;55;5360;47.6;38.2
766906.83;6284753.46;0.62;0.33;59;4960;50.1;35
