X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766321.36;6284654.53;0.19;0.1;0.75;1520
766321.45;6284651.35;0.17;0.13;0.74;1360
766321.52;6284648.57;0.12;0.09;0.8;960
766321.58;6284645.73;0.11;0.12;0.78;880
766321.67;6284642.5;0.09;0.2;0.83;720
766321.73;6284640.06;0.12;0.14;0.74;960
766321.81;6284636.86;0.11;0.17;0.83;880
766321.94;6284633.89;0.14;0.12;0.75;1120
766321.98;6284630.82;0.14;0.12;0.86;1120
766322.02;6284628.26;0.06;0.32;0.8;480
766322.12;6284624.9;0.08;0.08;0.82;640
766322.13;6284621.67;0.12;0.07;0.77;960
766322.28;6284618.34;0.16;0.08;0.58;1280
766322.32;6284616.36;0.16;0.08;0.79;1280
766322.37;6284612.67;0.17;0.1;0.78;1360
766322.42;6284610.18;0.03;0.07;0.5;240
766322.54;6284606.76;0.15;0.11;0.84;1200
766322.64;6284604.45;0.09;0.1;0.65;720
766322.73;6284600.77;0.14;0.1;0.81;1120
766322.76;6284598.74;0.11;0.14;0.91;880
766322.84;6284595.12;0.09;0.08;0.84;720
766322.92;6284591.53;0.3;0.02;0.54;2400
766322.95;6284588.77;0.13;0.09;0.74;1040
766323.08;6284586.24;0.13;0.12;0.73;1040
766323.19;6284583.85;0.11;0.08;0.91;880
766323.29;6284580.39;0.14;0.09;0.67;1120
766323.33;6284577.33;0.16;0.09;0.64;1280
766323.34;6284574.57;0.12;0.16;0.89;960
766323.47;6284572.27;0.14;0.12;0.75;1120
766323.61;6284568.3;0.11;0.1;0.58;880
766323.65;6284564.83;0.1;0.17;0.88;800
766323.69;6284562.83;0.12;0.08;0.91;960
766323.81;6284558.38;0.12;0.12;0.92;960
766323.75;6284557.07;0.16;0.11;0.88;1280
766323.85;6284553.88;0.16;0.06;0.76;1280
766323.92;6284550.66;0.2;0.07;0.67;1600
766323.94;6284547.99;0.18;0.09;0.77;1440
766324.04;6284545.47;0.12;0.08;0.86;960
766324.2;6284542.46;0.15;0.12;0.79;1200
766324.38;6284538.79;0.15;0.15;0.75;1200
766324.43;6284536.47;0.18;0.1;0.77;1440
766324.39;6284533.06;0.11;0.13;0.68;880
766321.75;6284531.24;0.17;0.26;0.92;1360
766319.46;6284532.76;0.14;0.14;0.88;1120
766319.29;6284535.92;0.13;0.15;0.95;1040
766319.1;6284539.65;0.12;0.12;0.91;960
766319.08;6284542.11;0.12;0.19;0.76;960
766319.13;6284545.55;0.1;0.06;0.5;800
766319.02;6284547.25;0.13;0.13;0.8;1040
766318.96;6284550.41;0.07;0.12;0.91;560
766318.94;6284552.57;0.16;0.16;0.2;1280
766318.84;6284556.01;0.1;0.09;0.87;800
766318.81;6284559.29;0.12;0.07;0.78;960
766318.64;6284562.67;0.17;0.11;0.89;1360
766318.56;6284564.66;0.12;0.12;0.9;960
766318.49;6284568.4;0.11;0.15;0.95;880
766318.47;6284571.25;0.12;0.14;0.92;960
766318.29;6284574.07;0.11;0.19;0.83;880
766318.27;6284576.51;0.13;0.1;0.82;1040
766318.21;6284579.28;0.09;0.09;0.83;720
766318.1;6284581.54;0.05;0.22;0.75;400
766318.05;6284585.33;0.11;0.13;0.78;880
766317.97;6284587.45;0.17;0.17;0.64;1360
766317.94;6284592.35;0.12;0.07;0.68;960
766317.83;6284594.47;0.11;0.07;0.87;880
766317.75;6284597.38;0.12;0.12;0.83;960
766317.73;6284600.1;0.1;0.16;0.9;800
766317.69;6284602.75;0.12;0.17;0.94;960
766317.57;6284605.98;0.11;0.14;0.8;880
766317.51;6284609.26;0.07;0.2;0.82;560
766317.41;6284611.27;0.19;0.18;0.79;1520
766317.37;6284615.15;0.08;0.27;0.86;640
766317.29;6284618;0.16;0.22;0.81;1280
766317.25;6284621.1;0.14;0.19;0.74;1120
766317.16;6284624.14;0.15;0.17;0.72;1200
766317.08;6284625.91;0.19;0.18;0.74;1520
766317.02;6284630.06;0.13;0.12;0.84;1040
766316.96;6284632.29;0.15;0.13;0.75;1200
766316.86;6284635.42;0.1;0.24;0.71;800
766316.87;6284638.3;0.13;0.22;0.86;1040
766316.76;6284640.83;0.11;0.21;0.85;880
766316.63;6284643.84;0.08;0.37;0.99;640
766311.76;6284640.84;0.33;0.2;0.36;2640
766311.77;6284637.32;0.09;0.18;0.63;720
