X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766655.09;6284839.56;0.37;0.13;0.86;2960
766657.4;6284838.34;0.51;0.05;0.5;4080
766659.54;6284837.28;0.47;0.11;0.78;3760
766663.43;6284835.17;0.49;0.08;0.64;3920
766665.31;6284834.15;0.52;0.17;0.48;4160
766668.32;6284832.73;0.49;0.1;0.76;3920
766671.44;6284831.07;0.27;0.2;0.67;2160
766673.33;6284829.99;0.56;0.45;0.69;4480
766676.72;6284828.19;0.45;0.82;0.81;3600
766678.43;6284827.38;0.46;1.03;0.78;3680
766681.4;6284825.71;0.44;0.11;0.95;3520
766684.39;6284824.13;0.44;0.29;0.87;3520
766686.11;6284823.21;0.41;0.15;0.84;3280
766690.05;6284821.11;0.45;0.06;0.81;3600
766693.18;6284819.54;0.14;0.19;0.93;1120
766694.9;6284818.47;0.46;0.06;0.87;3680
766698.22;6284816.85;0.53;0.75;0.4;4240
766699.8;6284816.07;0.46;0.14;0.78;3680
766703.24;6284814.22;0.46;0.17;0.78;3680
766704.78;6284813.4;0.47;0.14;0.68;3760
766708.53;6284811.42;0.45;0.08;0.9;3600
766711.53;6284809.87;0.3;0.33;0.71;2400
766712.66;6284809.4;0.44;0.03;0.83;3520
766716.78;6284807.16;0.48;0.05;0.78;3840
766718.45;6284806.25;0.01;0.04;0.89;80
766721.87;6284804.52;0.41;0.13;0.86;3280
766725.73;6284802.43;0.47;0.07;0.78;3760
766726.79;6284801.94;0.27;0.11;0.61;2160
766730.01;6284800.22;0.46;0.17;0.69;3680
766733.46;6284798.33;0.35;0.15;0.82;2800
766735.59;6284797.18;0.4;0.13;0.9;3200
766738.97;6284795.31;0.44;0.06;0.93;3520
766740.8;6284794.41;0.29;0.17;0.79;2320
766743.47;6284792.9;0.46;0.05;0.74;3680
766746.05;6284791.59;0.32;0.19;0.87;2560
766748.33;6284790.5;0.46;0.03;0.61;3680
766752.09;6284788.48;0.47;0.11;0.92;3760
766754.09;6284787.4;0.36;0.16;0.76;2880
766756.82;6284785.87;0.47;0.06;0.73;3760
766758.4;6284785.03;0.28;0.11;0.67;2240
766761.69;6284783.26;0.46;0.16;0.81;3680
766765.53;6284781.22;0.51;0.06;0.6;4080
766767.91;6284779.93;0.31;0.14;0.92;2480
766770.11;6284778.79;0.47;0.1;0.79;3760
766774.18;6284776.69;0.43;0.09;0.84;3440
766775.22;6284776.1;0.4;0.14;0.89;3200
766778.56;6284774.31;0.41;0.15;0.87;3280
766780.56;6284773.25;0.38;0.14;0.9;3040
766783.25;6284771.86;0.44;0.18;0.78;3520
766785.24;6284770.78;0.22;0.25;0.77;1760
766787.67;6284769.5;0.45;0.07;0.79;3600
766791.96;6284767.3;0.44;0.09;0.73;3520
766793.75;6284766.46;0.39;0.78;0.75;3120
766796.29;6284765.1;0.53;0.21;0.67;4240
766799.04;6284763.56;0.45;0.05;0.73;3600
766801.44;6284762.37;0.48;0.13;0.81;3840
766804.88;6284760.52;0.5;0.05;0.8;4000
766807.3;6284759.22;0.4;0.1;0.91;3200
766809.88;6284757.81;0.51;0.14;0.75;4080
766811.79;6284756.91;0.45;0.68;0.79;3600
766814.18;6284755.67;0.44;0.21;0.7;3520
766814.58;6284754.16;0.46;0.1;0.71;3680
766807.09;6284753.55;0.43;0.42;0.96;3440
766802.92;6284755.78;0.51;0.14;0.65;4080
766800.83;6284756.86;0.45;0.18;0.85;3600
766798.3;6284758.24;0.56;0.15;0.65;4480
766795.53;6284759.71;0.4;0.15;0.75;3200
766793.73;6284760.71;0.51;0.1;0.71;4080
766790.14;6284762.58;0.5;0.2;0.73;4000
766786.97;6284764.21;0.53;0.18;0.59;4240
766784.37;6284765.58;0.43;0.17;0.87;3440
766781.79;6284766.94;0.51;0.18;0.71;4080
766780.39;6284767.73;0.53;0.05;0.79;4240
766776.06;6284769.97;0.49;0.09;0.79;3920
