X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766655.36;6284839.27;1.2;0.71;78;9600;100.8
766658.31;6284837.83;1.37;0.46;77;10960;99.8
766660.61;6284836.54;1.04;0.45;52;8320;52.9
766663.27;6284835.21;1.26;0.34;75;10080;87
766665.96;6284833.8;1.23;0.31;82;9840;96.1
766668.25;6284832.66;1.19;0.42;82;9520;97.6
766671.08;6284831.12;1.37;0.49;77;10960;100.8
766673.33;6284829.93;1.41;0.38;81;11280;106.7
766675.81;6284828.6;1.22;0.39;83;9760;100.1
766678.63;6284827.12;1.26;0.4;72;10080;84.1
766680.9;6284825.88;1.22;0.53;75;9760;90.8
766683.61;6284824.42;1.12;0.49;76;8960;86.4
766685.99;6284823.17;1.17;0.29;81;9360;90.7
766688.6;6284821.8;1.44;0.46;80;11520;110.8
766690.96;6284820.59;1.24;0.29;83;9920;97.7
766693.92;6284819.01;1.07;0.71;60;8560;67.9
766695.89;6284818.06;1.31;0.36;70;10480;82.4
766699.08;6284816.35;0.99;0.41;68;7920;67.7
766701.31;6284815.21;1.34;0.46;78;10720;99.9
766703.64;6284813.93;1.46;0.69;85;11680;131
766705.01;6284813.16;1.09;1.01;67;8720;86.2
766708.76;6284811.17;1.25;0.31;82;10000;97.2
766710.92;6284810.07;1.09;0.45;80;8720;90.1
766712.62;6284809.32;1.19;0.48;39;9520;52.2
766715.83;6284807.56;1.24;0.3;74;9920;83.4
766718.7;6284806.08;0.84;0.58;40;6720;39.9
766721.2;6284804.73;1.23;0.36;73;9840;83.1
766723.14;6284803.68;1.24;0.39;70;9920;80
766726.07;6284802.11;1.14;0.53;64;9120;71.3
766728.37;6284800.92;1.22;0.47;73;9760;85.8
766730.65;6284799.71;1.14;0.43;49;9120;54.3
766733.24;6284798.29;1.39;0.35;69;11120;88.3
766735.96;6284796.82;1.29;0.39;74;10320;88.4
766738.72;6284795.36;1.14;0.36;72;9120;77.7
766740.97;6284794.21;1.25;0.37;82;10000;99.2
766743.45;6284792.84;1.41;0.33;70;11280;90.8
766746.03;6284791.46;1.13;0.4;69;9040;74.2
766748.34;6284790.33;1.07;0.4;35;8560;42.7
766751.48;6284788.69;1.14;0.43;66;9120;71.4
766754.04;6284787.29;1.22;0.41;78;9760;92
766756.03;6284786.15;1.3;0.3;85;10400;105.1
766758.36;6284784.9;1.02;0.61;68;8160;73.7
766761.13;6284783.37;1.33;0.35;82;10640;102.9
766763.56;6284782.18;1.38;0.36;82;11040;106.1
766765.93;6284780.86;1.3;0.43;76;10400;93.4
766768.79;6284779.35;1.19;0.42;71;9520;80
766770.52;6284778.48;1.31;0.41;67;10480;80.5
766774.21;6284776.5;0.99;0.32;73;7920;71.9
766776.43;6284775.3;1.31;0.39;84;10480;107
766778.58;6284774.16;1.33;0.47;80;10640;103.4
766781.48;6284772.62;1.32;0.5;76;10560;96.7
766783.68;6284771.51;1.53;0.28;83;12240;120
766786.38;6284770.02;1.15;0.32;72;9200;77.1
766788.67;6284768.8;1.23;0.44;67;9840;76.6
766791.69;6284767.27;1.18;0.44;72;9440;81.6
766794.12;6284766;0.97;0.42;66;7760;64.9
766795.96;6284765.11;1.2;0.33;74;9600;82.4
766799.15;6284763.38;1.06;0.44;61;8480;62.7
766801.38;6284762.18;1.52;0.34;71;12160;103.6
766804.01;6284760.85;1.09;0.34;68;8720;69.9
766806.94;6284759.26;1.17;0.36;66;9360;70.9
766809.33;6284757.97;1.02;0.37;63;8160;62.1
766811.99;6284756.6;1.12;0.29;65;8960;66.1
766813.98;6284755.59;1.24;0.25;69;9920;74.9
766810.51;6284753.48;0.67;0.83;70;5360;68.1
766806.83;6284753.65;1.05;0.73;87;8400;110.1
766803.98;6284755.18;1.3;0.58;76;10400;98.3
766801.62;6284756.46;1.31;0.41;75;10480;91.6
766799.03;6284757.79;1.12;0.68;67;8960;78.3
766796.45;6284759.26;1.05;0.38;73;8400;75.9
766794.13;6284760.47;1.19;0.42;78;9520;90.8
766791.39;6284761.88;1.37;0.24;74;10960;89.2
766789.61;6284762.83;1.5;0.4;76;12000;110.2
