X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766655.09;6284839.56;0.37;0.13;51;2960;44.5;55.2
766657.4;6284838.34;0.51;0.05;15;4080;24.4;84
766659.54;6284837.28;0.47;0.11;43;3760;40.4;61.6
766663.43;6284835.17;0.49;0.08;29;3920;31.4;72.8
766665.31;6284834.15;0.52;0.17;13;4160;24.6;85.6
766668.32;6284832.73;0.49;0.1;41;3920;39.3;63.2
766671.44;6284831.07;0.27;0.2;32;2160;30.6;70.4
766673.33;6284829.99;0.56;0.45;34;4480;40.5;68.8
766676.72;6284828.19;0.45;0.82;46;3600;53.7;59.2
766678.43;6284827.38;0.46;1.03;43;3680;55;61.6
766681.4;6284825.71;0.44;0.11;60;3520;54;48
766684.39;6284824.13;0.44;0.29;52;3520;49.7;54.4
766686.11;6284823.21;0.41;0.15;49;3280;44.2;56.8
766690.05;6284821.11;0.45;0.06;46;3600;41.5;59.2
766693.18;6284819.54;0.14;0.19;58;1120;45.4;49.6
766694.9;6284818.47;0.46;0.06;52;3680;46.5;54.4
766698.22;6284816.85;0.53;0.75;5;4240;28.9;92
766699.8;6284816.07;0.46;0.14;43;3680;40.6;61.6
766703.24;6284814.22;0.46;0.17;43;3680;41;61.6
766704.78;6284813.4;0.47;0.14;33;3760;34.1;69.6
766708.53;6284811.42;0.45;0.08;55;3600;49.1;52
766711.53;6284809.87;0.3;0.33;36;2400;35;67.2
766712.66;6284809.4;0.44;0.03;48;3520;42.3;57.6
766716.78;6284807.16;0.48;0.05;43;3840;39.8;61.6
766718.45;6284806.25;0.01;0.04;54;80;37.4;52.8
766721.87;6284804.52;0.41;0.13;51;3280;45.5;55.2
766725.73;6284802.43;0.47;0.07;43;3760;39.8;61.6
766726.79;6284801.94;0.27;0.11;26;2160;26.6;75.2
766730.01;6284800.22;0.46;0.17;34;3680;34.9;68.8
766733.46;6284798.33;0.35;0.15;47;2800;41.2;58.4
766735.59;6284797.18;0.4;0.13;55;3200;48.6;52
766738.97;6284795.31;0.44;0.06;58;3520;51.2;49.6
766740.8;6284794.41;0.29;0.17;44;2320;38.1;60.8
766743.47;6284792.9;0.46;0.05;39;3680;36.6;64.8
766746.05;6284791.59;0.32;0.19;52;2560;45;54.4
766748.33;6284790.5;0.46;0.03;26;3680;28.8;75.2
766752.09;6284788.48;0.47;0.11;57;3760;52;50.4
766754.09;6284787.4;0.36;0.16;41;2880;37.3;63.2
766756.82;6284785.87;0.47;0.06;38;3760;36.3;65.6
766758.4;6284785.03;0.28;0.11;32;2240;29.9;70.4
766761.69;6284783.26;0.46;0.16;46;3680;43.1;59.2
766765.53;6284781.22;0.51;0.06;25;4080;29.3;76
766767.91;6284779.93;0.31;0.14;57;2480;48.2;50.4
766770.11;6284778.79;0.47;0.1;44;3760;41;60.8
766774.18;6284776.69;0.43;0.09;49;3440;43.7;56.8
766775.22;6284776.1;0.4;0.14;54;3200;47.9;52.8
766778.56;6284774.31;0.41;0.15;52;3280;46.6;54.4
766780.56;6284773.25;0.38;0.14;55;3040;48.3;52
766783.25;6284771.86;0.44;0.18;43;3520;40.7;61.6
766785.24;6284770.78;0.22;0.25;42;1760;36.3;62.4
766787.67;6284769.5;0.45;0.07;44;3600;40.1;60.8
766791.96;6284767.3;0.44;0.09;38;3520;36.1;65.6
766793.75;6284766.46;0.39;0.78;40;3120;46;64
766796.29;6284765.1;0.53;0.21;32;4240;35.4;70.4
766799.04;6284763.56;0.45;0.05;38;3600;35.8;65.6
766801.44;6284762.37;0.48;0.13;46;3840;43.2;59.2
766804.88;6284760.52;0.5;0.05;45;4000;41.7;60
766807.3;6284759.22;0.4;0.1;56;3200;49;51.2
766809.88;6284757.81;0.51;0.14;40;4080;39.5;64
766811.79;6284756.91;0.45;0.68;44;3600;49.4;60.8
766814.18;6284755.67;0.44;0.21;35;3520;35.6;68
766814.58;6284754.16;0.46;0.1;36;3680;35.3;67.2
766807.09;6284753.55;0.43;0.42;61;3440;60.8;47.2
766802.92;6284755.78;0.51;0.14;30;4080;33;72
766800.83;6284756.86;0.45;0.18;50;3600;46.4;56
766798.3;6284758.24;0.56;0.15;30;4480;34;72
766795.53;6284759.71;0.4;0.15;40;3200;37.3;64
766793.73;6284760.71;0.51;0.1;36;4080;36.3;67.2
766790.14;6284762.58;0.5;0.2;38;4000;38.7;65.6
766786.97;6284764.21;0.53;0.18;24;4240;30.3;76.8
766784.37;6284765.58;0.43;0.17;52;3440;47.5;54.4
766781.79;6284766.94;0.51;0.18;36;4080;37.3;67.2
766780.39;6284767.73;0.53;0.05;44;4240;41.6;60.8
766776.06;6284769.97;0.49;0.09;44;3920;41.3;60.8
766774.5;6284770.84;0.33;0.12;37;2640;33.7;66.4
766771.69;6284772.27;0.39;0.09;57;3120;49.4;50.4
766767.81;6284774.33;0.43;0.09;56;3440;49.6;51.2
766766.41;6284775.08;0.32;0.2;34;2560;32.6;68.8
